dataset,ks_test,w,l1
Berkeley,0.644927536231884,0.4053153298996292,0.7901271725611143
COCO,0.680219278209228,1.1525707460247403,2.221075744104173
DAVIS,0.6211640211640211,0.57662635713562,1.0787491235084068
GrabCut,0.6304347826086957,0.2551461901470131,0.5366806370402168
TETRIS,0.6997578692493946,0.4141176880038757,0.6957986879375602
